"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene473",7194,29497,15837,24231,14008,17506,8518,7994,24119,8247,14710,2997,25475,25476,29095,28506,19320,10260,20421,17380
"Gene474",5203,21529,11560,17768,10119,12509,6261,5887,17647,5958,10918,2160,18521,18356,21073,20884,13962,7271,14766,12694
"Gene475",2691,10895,5889,9005,5204,6580,3191,3099,8997,3097,5549,1152,9568,9500,10781,10718,7163,3674,7567,6412
"Gene476",7903,32102,17434,26840,15480,19554,9483,8798,26672,9032,16373,3391,28351,28075,32253,31858,21409,11264,22992,19173
"Gene477",5147,20397,11014,16968,9753,12045,6041,5622,16846,5744,10326,2097,17946,17876,20296,20031,13347,7215,14190,11938
"Gene478",10976,44168,23684,36284,21229,26683,12963,12135,36158,12421,22307,4707,38721,38417,43931,43632,28729,15473,30758,26092
"Gene479",4017,16627,8888,13585,8071,9953,4952,4628,13538,4657,8167,1730,14588,14609,16449,16503,11057,5736,11535,9933
"Gene480",10002,40251,21512,33193,19308,24253,11928,11055,33191,11289,20364,4279,35610,34770,39696,39692,26526,13894,28041,23887
"Gene481",6823,27899,14855,22825,13446,16578,8174,7669,23015,7795,14174,2842,24438,24240,27179,27131,18248,9631,19502,16426
"Gene482",10682,43106,22974,35300,20564,25553,12621,11805,35390,12129,21785,4426,37327,37410,42690,41935,28303,14841,30029,25296
"Gene483",13275,53531,29088,44449,26145,32479,15931,14935,44871,15260,27019,5671,47026,46791,53449,53020,35444,18545,37433,31992
"Gene484",3453,13566,7271,11410,6731,8420,4115,3777,11298,3841,6985,1443,11805,11792,13378,13588,8844,4728,9718,8295
"Gene485",1576,6701,3520,5510,3156,3913,2019,1910,5348,1823,3266,689,5842,5789,6517,6246,4418,2268,4617,3936
"Gene486",12333,49376,26505,40464,23646,29954,14684,13562,40488,13868,24843,5067,43274,42659,48871,48232,32984,17036,34558,29037
"Gene487",3233,12909,6955,10672,6198,7992,3894,3610,10789,3770,6530,1364,11554,11312,12735,13245,8602,4503,9179,7655
"Gene488",3493,14851,7884,12043,7032,8879,4313,4046,12295,4112,7583,1583,13009,12874,14635,14561,9695,5155,10445,8675
"Gene489",4833,19400,10516,16030,9447,11766,5685,5403,16085,5705,9806,2046,17182,17076,19409,18992,12803,6907,13576,11470
"Gene490",2231,9101,4866,7599,4421,5447,2725,2480,7655,2560,4746,986,8036,7871,9092,9038,6229,3101,6460,5371
"Gene491",4128,16506,8796,13723,7922,10082,4975,4557,13566,4653,8443,1802,14533,14441,16111,16076,10870,5683,11581,9809
"Gene492",8172,32925,17869,27113,15841,19847,9692,8900,27825,9327,16540,3476,28835,28835,32531,32249,21764,11302,22808,19322
"Gene493",10254,42097,22599,34964,20003,25152,12588,11595,34835,11973,21385,4451,36597,36928,41304,41412,27670,14628,29298,24902
"Gene494",1871,7455,4051,6142,3639,4622,2166,2046,6314,2186,3854,760,6642,6533,7427,7455,5014,2720,5274,4394
"Gene495",2012,8266,4311,6672,3927,4883,2520,2326,6704,2377,4148,854,7100,7140,8135,7991,5549,2829,5789,4739
"Gene496",7537,30646,16495,25074,14601,18318,8902,8405,25270,8450,15277,3223,26861,26547,30379,29690,20117,10358,21377,18307
"Gene497",1955,7878,4204,6668,3844,4772,2313,2136,6622,2165,4014,836,7015,6941,7910,7763,5258,2749,5575,4778
"Gene498",498,2035,1098,1580,954,1196,616,572,1665,579,1006,234,1775,1712,1933,1901,1258,713,1392,1174
"Gene499",519,2120,1220,1710,1071,1273,625,562,1777,609,1136,193,1900,1926,2164,2080,1423,723,1475,1282
"Gene500",13271,54269,29056,44897,26357,33256,16136,15034,45288,15422,27495,5594,47750,47387,54204,53398,35839,18879,38524,32321
"Gene501",727,2883,1530,2376,1409,1701,842,750,2370,888,1481,278,2514,2548,2879,2883,1886,1054,2034,1692
"Gene502",2290,9302,4938,7703,4552,5578,2769,2645,7531,2562,4808,948,8262,7980,9149,9219,6114,3163,6389,5510
"Gene503",4778,19429,10486,15984,9316,11766,5809,5440,15976,5443,9754,2061,16856,17051,19415,19165,12951,6698,13487,11481
"Gene504",17367,70914,38296,58495,34122,42297,20737,19822,57876,19789,35512,7436,62185,62039,70205,69664,46655,24584,49525,41788
"Gene505",6643,27383,14990,22819,13075,16393,8031,7448,22622,7599,13858,2899,23616,23772,26824,26516,17908,9499,18983,16064
"Gene506",1840,7619,4189,6343,3750,4634,2233,2125,6338,2116,3836,802,6790,6706,7533,7524,5001,2739,5304,4525
"Gene507",8549,33778,18294,27889,16440,20524,9930,9368,28153,9541,17176,3531,30069,29649,34125,33098,22437,11673,23995,19919
"Gene508",6008,24236,13153,20160,11784,14493,7129,6636,20275,6978,12203,2585,21438,21025,24129,23806,16207,8287,16903,14209
"Gene509",2691,10925,5857,8943,5289,6612,3182,2993,9027,3138,5371,1150,9666,9514,10976,10751,7164,3792,7685,6545
"Gene510",11822,48153,25696,39539,23241,29159,14258,13399,39993,13586,24550,4934,42186,42050,47774,47347,31637,16756,33555,28350
"Gene511",6391,25605,13848,21172,12563,15421,7623,7320,21322,7339,13097,2632,22633,22575,25486,25181,17143,8774,18232,15257
"Gene512",4718,19488,10411,16161,9453,11937,5808,5411,16155,5638,9886,2090,17333,17070,19368,19084,12874,6910,13838,11661
"Gene513",6915,28086,15182,22997,13499,16752,8249,7760,23186,7929,14087,2934,24666,24489,27908,27467,18341,9684,19852,16580
"Gene514",2326,9662,5066,7956,4574,5723,2896,2572,8029,2840,4840,964,8449,8369,9707,9289,6502,3271,6591,5707
"Gene515",7080,29417,15768,24177,14193,17664,8608,8132,24268,8309,14942,3176,26005,25817,28879,28907,19288,10141,20481,17350
"Gene516",11890,48553,26048,39843,23474,29463,14330,13345,40561,13591,24266,5142,42504,42398,48143,47586,31917,16751,34196,28628
"Gene517",5429,21757,11733,17689,10526,13002,6427,5851,17884,6041,11077,2318,19075,19019,21577,21301,14436,7467,15071,13055
"Gene518",2379,9881,5228,8146,4800,5974,2953,2784,8122,2733,5089,1054,8638,8749,9599,9615,6455,3478,6948,5722
"Gene519",10079,40910,21991,33426,20039,24723,12071,11455,33665,11662,20676,4280,35765,35817,40314,40277,26947,14315,28193,24396
"Gene520",3359,13800,7403,11042,6541,8184,4065,3775,11376,3910,6953,1407,11933,11930,13474,13581,9094,4753,9539,8263
"Gene521",2434,9768,5277,8001,4601,5887,2880,2638,8066,2744,4875,1012,8563,8352,9700,9663,6368,3363,6637,5679
"Gene522",13419,54032,28723,44245,25896,32210,15863,15217,44430,15157,27172,5672,47417,47401,53311,53012,35453,18827,37691,31872
"Gene523",8990,36703,19745,29948,17847,22244,10726,10315,30396,10281,18539,3890,32059,32039,36561,35570,24361,12725,25851,21759
"Gene524",10659,43075,23167,35298,20642,25691,12837,12066,35457,12228,21506,4465,37768,37558,42320,41987,28268,14805,29838,25226
"Gene525",2163,8919,4723,7317,4275,5353,2614,2433,7265,2497,4479,916,7785,7730,8660,8714,5922,3108,6327,5284
"Gene526",5876,23909,13029,19666,11436,14570,7086,6765,19742,6692,12156,2553,21277,21168,23774,23383,15824,8299,16498,14117
"Gene527",4053,16308,8860,13614,7832,10043,4796,4496,13415,4599,8174,1778,14175,14101,16340,15921,10958,5577,11326,9687
"Gene528",5526,22229,12066,18651,10799,13387,6697,6274,18630,6407,11460,2354,19767,19893,22462,22021,14880,7810,15496,13430
"Gene529",3672,14705,7942,12079,7119,8768,4434,4063,12088,4203,7456,1559,12994,12650,14633,14466,9731,5162,10284,8514
"Gene530",6227,24651,13250,20361,11842,14938,7385,6764,20132,6784,12319,2598,21644,21797,24462,24255,16086,8437,17075,14829
"Gene531",14947,60231,32395,49529,29112,36181,17885,16666,49429,16965,30403,6247,52936,52610,59644,59222,39467,20714,41907,35581
"Gene532",6014,24715,13046,20074,11885,14874,7141,6744,20154,6967,12170,2560,21320,21360,24471,24252,16281,8515,17180,14440
"Gene533",10758,43292,23279,35132,20682,25834,12702,11794,35529,12066,21701,4576,38166,37482,42805,42685,28199,14761,30428,25266
"Gene534",868,3379,1877,2775,1698,2087,1018,955,2849,952,1755,350,3062,3109,3497,3392,2360,1186,2437,2073
"Gene535",6221,25242,13640,20588,12179,15302,7366,6953,21130,7186,12794,2753,22357,21951,25110,24768,16602,8629,17737,15038
"Gene536",7595,30201,16367,24683,14713,18191,8942,8299,25394,8527,15212,3139,26931,26775,30003,29924,19760,10414,21198,17900
"Gene537",3224,13142,7085,10819,6287,7929,3921,3535,10848,3867,6634,1408,11657,11665,13045,12952,8615,4606,9325,7621
"Gene538",2524,10093,5648,8293,4924,6097,2995,2683,8416,2847,5191,1096,8986,8737,9960,9850,6787,3469,7079,5986
"Gene539",3225,13049,6895,10545,6268,7708,3964,3731,10713,3656,6618,1373,11401,11279,13058,12915,8827,4473,9045,7568
"Gene540",11713,47277,25597,39164,22654,28686,14035,13059,39375,13348,24301,5070,41935,41362,47006,46847,31745,16377,33446,27956
"Gene541",3276,13271,7220,10941,6377,8101,3859,3713,11136,3825,6782,1365,11667,11570,13117,13046,8790,4689,9275,7800
"Gene542",7807,31971,17112,26430,15392,19041,9505,8704,26435,8941,16372,3409,28044,28009,31610,31275,21253,11089,22081,18963
"Gene543",6537,26687,14120,22057,12767,16132,7901,7455,22163,7502,13390,2715,23298,23381,26557,25910,17641,9238,18535,15641
"Gene544",10070,41605,22420,34227,19770,24919,12294,11568,34152,11870,20937,4338,36327,36004,40644,41072,27481,14534,29361,24465
"Gene545",7811,32261,17198,26632,15401,19386,9519,8970,26773,8941,16228,3373,28296,28005,31939,31719,21142,11111,22480,18950
"Gene546",13220,54386,29222,44579,26182,32707,15783,15209,44730,15312,27576,5756,47424,47048,53590,53004,35746,18551,38274,32026
"Gene547",9066,36959,20072,30447,17921,22148,11005,10169,30674,10281,18663,3851,32385,32264,36661,36664,24552,12759,26115,21952
"Gene548",4240,16698,9162,13927,8283,9991,4969,4606,13763,4710,8444,1808,14821,14340,16943,16443,11289,5801,11846,9846
"Gene549",4331,17240,9084,14165,8334,10544,5013,4887,14321,4844,8617,1796,15227,15382,17134,17050,11473,6087,12042,10134
"Gene550",4653,18850,10401,15558,9196,11559,5566,5126,15841,5498,9556,2021,16540,16725,18968,18877,12561,6460,13312,11276
"Gene551",5049,20609,11034,17173,9939,12313,6124,5717,16823,5949,10557,2133,18190,18003,20359,20199,13385,7127,14540,11965
"Gene552",2360,9468,5098,7788,4652,5670,2726,2755,7869,2734,4831,991,8228,8364,9616,9238,6290,3351,6745,5689
"Gene553",17250,70257,37703,58479,33906,42351,20653,19545,58292,19676,35556,7487,61869,61777,70025,69417,46991,24208,49253,41784
"Gene554",4074,16339,8909,13366,7883,9727,4864,4601,13426,4586,8370,1793,14518,14375,15921,16207,10758,5678,11500,9675
"Gene555",6899,27258,14730,22599,13333,16564,8295,7775,22734,7824,13962,2926,24191,23919,27113,26596,18070,9484,19250,15929
"Gene556",5413,22180,11895,18055,10677,13409,6540,6083,18196,6185,11121,2339,19395,19347,21985,21966,14829,7591,15572,12842
"Gene557",7030,28655,15258,23653,13749,17181,8285,7882,23346,7954,14481,2927,24837,24626,28213,28221,18920,9741,20038,16960
"Gene558",2490,9837,5405,8133,4750,5936,2894,2733,8180,2867,4930,1064,8736,8622,9928,9819,6524,3370,6853,5701
"Gene559",14366,58252,31222,48143,28067,34941,17110,16149,47845,16213,29235,6270,50920,50675,57166,57167,38397,20436,40713,34487
"Gene560",3702,14774,7876,12107,7121,8992,4393,4155,12159,4214,7436,1545,12865,12848,14636,14693,9744,5032,10479,8749
"Gene561",3961,16472,8917,13369,7890,9886,4786,4561,13556,4613,8128,1738,14218,14376,16370,16293,10776,5676,11363,9686
"Gene562",491,1863,1062,1605,880,1149,589,537,1639,558,973,169,1677,1669,2018,1872,1300,638,1249,1077
"Gene563",471,1815,973,1497,825,1104,511,516,1444,500,921,203,1554,1543,1746,1776,1176,644,1295,1021
"Gene564",7428,30463,16256,24872,14532,18349,8840,8339,24815,8624,15262,3161,26700,26338,29942,29486,20078,10382,21195,17775
"Gene565",1750,7217,3756,5855,3427,4455,2108,1934,6057,1954,3632,798,6284,6374,7133,7054,4781,2581,5012,4236
"Gene566",1930,7130,4051,6158,3566,4488,2132,2087,6127,2125,3680,775,6535,6457,7476,7231,4937,2520,5217,4387
"Gene567",4499,18523,9864,14986,8894,11086,5454,5070,15141,5204,9344,1915,16387,16275,18359,18256,12266,6432,12618,11075
"Gene568",2620,10325,5559,8384,4970,6353,3099,2874,8657,2919,5257,1073,9005,8914,10158,10096,6884,3621,7197,6018
"Gene569",1309,5294,2827,4234,2529,3211,1592,1411,4329,1448,2676,543,4671,4571,5211,5020,3407,1855,3716,3178
"Gene570",2962,11725,6464,9820,5769,7032,3459,3364,9829,3442,5994,1289,10448,10430,11694,11860,7929,4123,8406,7102
"Gene571",4900,19754,10670,16510,9609,11819,5809,5573,16242,5582,9908,2097,17440,16987,19523,19489,13059,6887,13788,11593
"Gene572",5818,23281,12500,19092,11274,14160,6844,6349,19165,6538,11829,2334,20427,20137,22897,22696,15262,8006,16053,13567
"Gene573",10975,44307,24107,36835,21614,26881,13225,12444,36822,12818,22926,4686,39558,39293,44301,44049,29626,15409,31005,26406
"Gene574",7524,31400,16642,25440,15138,19021,9276,8720,25736,8798,15639,3207,27282,27342,30692,30596,20435,10707,21665,18230
"Gene575",8228,33031,17701,27586,15878,20080,9786,9268,27536,9326,16811,3593,29338,28713,32924,32619,21817,11489,23236,19648
"Gene576",5122,21192,11476,17275,10280,12601,6384,5813,17540,5943,10689,2197,18627,18580,21083,20920,14120,7347,14910,12346
"Gene577",1971,8235,4391,6770,3977,4754,2460,2250,6633,2352,4204,869,7107,6988,8136,7954,5367,2897,5660,4863
"Gene578",2314,9672,5063,7844,4617,5694,2840,2642,7982,2809,4762,1003,8526,8377,9385,9489,6329,3352,6778,5573
"Gene579",4018,16210,8514,13115,7821,9802,4766,4392,13200,4542,8157,1741,14075,13833,15823,15994,10622,5665,11291,9577
"Gene580",1769,6929,3768,5694,3282,4188,2101,1954,5769,1973,3417,730,6085,6079,6844,6720,4658,2443,4895,4038
"Gene581",1327,5423,2899,4546,2632,3282,1665,1522,4482,1524,2860,629,4891,4765,5375,5325,3696,1893,3782,3177
"Gene582",3299,13265,7133,10792,6297,7848,3920,3586,11084,3764,6638,1360,11865,11460,13161,13014,8758,4602,9294,7897
"Gene583",3081,12497,6798,10269,5944,7664,3711,3405,10315,3487,6159,1307,11172,10952,12357,12288,7989,4289,8698,7453
"Gene584",4995,20426,10825,16660,9848,12191,6032,5718,16754,5797,10075,2118,17820,17853,20053,20075,13467,6941,14201,12068
"Gene585",3332,13214,6994,10977,6411,7980,4031,3640,11007,3893,6732,1364,11556,11602,13030,12816,8810,4502,9357,7769
"Gene586",1794,7600,4092,6364,3691,4612,2198,2132,6259,2238,3725,796,6645,6771,7599,7364,5000,2594,5352,4544
"Gene587",1453,6236,3335,5031,2902,3594,1835,1759,5251,1761,3060,638,5431,5341,6083,6014,4097,2085,4368,3584
"Gene588",2128,8848,4734,7203,4314,5372,2611,2426,7382,2436,4621,941,7604,7514,8936,8707,5781,2982,6126,5208
"Gene589",5504,22528,12019,18774,10857,13425,6628,6273,18506,6284,11531,2405,19904,19703,22053,21917,14807,7790,15478,13162
"Gene590",2195,9354,5131,7741,4518,5745,2663,2562,7800,2645,4657,963,8169,8396,9440,9301,6094,3281,6584,5449
"Gene591",12282,50152,26815,41458,24198,30108,14882,13910,41340,14068,25427,5305,43486,43896,49569,49370,33319,17259,34547,29696
"Gene592",6417,26039,13925,21391,12557,15546,7826,7110,21379,7227,13255,2657,22850,22655,25769,25577,17272,8926,18363,15363
"Gene593",643,2736,1350,2200,1316,1589,814,716,2129,781,1348,269,2285,2352,2683,2625,1687,921,1796,1561
"Gene594",2730,11227,6114,9532,5498,6716,3221,3151,9290,3192,5760,1198,9835,9943,11249,11210,7329,3874,7934,6619
"Gene595",7571,31274,16652,25467,15303,18590,9228,8541,25853,8770,15793,3353,27130,27372,30660,30846,20424,10754,21825,18807
"Gene596",14959,61591,32514,50539,29680,36901,18133,16947,51020,17406,31235,6420,53981,53540,60250,60650,40543,21158,42920,35857
"Gene597",11769,47845,25420,39266,22926,28799,14174,13256,39398,13268,23923,5151,41523,41554,46909,46862,31049,16553,33312,28092
"Gene598",8374,34137,18523,28292,16501,20507,10098,9338,28474,9539,17310,3551,30122,29953,33936,33728,22902,11903,23720,20080
"Gene599",7702,31134,16697,25285,14899,18647,9138,8527,25559,8519,15490,3226,27037,27049,30504,30536,20415,10691,21401,18307
"Gene600",1718,6961,3746,5588,3395,4274,2046,1810,5728,1991,3516,693,6076,6100,6878,7014,4591,2444,4907,4114
"Gene601",12406,49952,27203,41006,24381,30333,14688,14128,41487,14178,25354,5385,44120,43777,49561,49214,33232,17533,35127,29741
"Gene602",4167,17404,9321,14224,8380,10607,5055,4791,14272,4829,8842,1760,15246,15040,17175,17234,11426,6014,11974,10085
"Gene603",2723,11028,5813,9091,5382,6542,3257,3120,9069,3087,5537,1178,9671,9605,10818,10639,7277,3792,7730,6495
"Gene604",9694,39643,21384,32624,19200,23764,11753,10897,32704,11247,19995,4237,34464,34583,39139,38623,26026,13692,27500,23417
"Gene605",10805,44041,23719,36304,21171,26181,13091,11879,36105,12277,22236,4542,38183,38450,43110,43238,28718,14973,30953,25902
"Gene606",1885,7248,4041,6024,3555,4348,2114,2009,5997,2148,3657,771,6485,6192,7096,7119,4674,2484,4990,4248
"Gene607",1093,4231,2306,3516,2032,2603,1236,1221,3540,1212,2050,467,3755,3770,4267,4211,2814,1569,2914,2546
"Gene608",4749,19274,10235,15699,9346,11675,5768,5388,16095,5390,9702,2052,16747,16638,19050,18781,12660,6655,13132,11573
"Gene609",3962,15773,8476,13020,7701,9657,4631,4341,13143,4504,7903,1722,13603,13800,15594,15423,10326,5556,11059,9177
"Gene610",6843,27468,14872,22935,13269,16564,8149,7591,22713,7700,13952,2909,24215,24239,27459,27219,18330,9521,19221,16306
"Gene611",772,3104,1650,2541,1463,1931,898,821,2535,930,1595,319,2580,2664,3063,2943,1998,1077,2152,1784
"Gene612",3322,13802,7211,11204,6510,8266,3970,3729,11052,3861,6714,1403,11724,11887,13436,13586,8940,4738,9447,8067
"Gene613",5019,20169,11126,16531,9727,12195,5950,5464,16706,5708,10173,2194,17887,17896,20218,19925,13237,6998,14193,11860
"Gene614",5855,23343,12842,19393,11295,14348,7026,6514,19646,6618,12092,2580,20534,20946,23268,23144,15523,8057,16513,14052
"Gene615",4006,16922,8983,13788,8059,10096,4948,4773,13965,4684,8584,1788,14589,14517,16855,16507,11163,5812,12056,9839
"Gene616",751,3137,1662,2435,1449,1872,871,896,2618,905,1503,307,2660,2781,3034,2986,2078,1066,2182,1881
"Gene617",6010,24647,13125,20304,11873,14668,7158,6762,20341,6952,12482,2582,21772,21587,24222,24161,16217,8373,17311,14393
"Gene618",2872,11150,6060,9069,5381,6842,3300,3014,9083,3171,5664,1173,9610,9748,10994,10957,7349,3889,7794,6596
"Gene619",4604,18834,10101,15489,9148,11399,5523,5322,15663,5221,9640,1942,16435,16483,18598,18390,12532,6473,13129,11025
"Gene620",6033,23943,12950,20204,11830,14804,7071,6550,20099,6826,12148,2434,21257,21139,23815,23748,15924,8298,17252,14241
"Gene621",16189,65760,35156,53850,31663,39625,19307,18171,54356,18350,33310,6983,57588,57649,65375,64184,43256,22694,46395,38834
"Gene622",14006,56825,30801,46988,27282,34163,16752,15779,46934,16128,28884,5958,49800,49415,56247,55444,37596,19823,40005,33504
"Gene623",9071,36843,19787,29988,17402,21827,10779,10135,30181,10298,18712,3831,31990,31776,36547,36162,24037,12971,25666,21634
"Gene624",9517,39160,21060,32034,18719,23378,11330,10688,32115,10858,19706,3990,34010,34001,38575,38088,25741,13381,27183,22589
"Gene625",5992,24430,12868,19748,11717,14687,7211,6777,20193,6968,12186,2524,21300,21250,24063,23884,16038,8583,16713,14234
"Gene626",9191,37426,19968,30571,17587,22447,10931,10451,30664,10560,18722,3937,32807,32808,37428,36858,24599,12852,26166,22013
"Gene627",5800,23106,12361,19134,10988,14055,6789,6324,19149,6520,11769,2523,20490,20139,23052,22744,15410,7933,16221,13693
"Gene628",3345,13240,7068,10919,6494,8025,3898,3724,10943,3799,6581,1369,11604,11454,13351,13030,8676,4421,9251,7783
"Gene629",13191,53848,28654,44180,25652,32387,16005,14769,44486,15279,27171,5625,47135,46934,53291,52821,35336,18409,37753,32065
"Gene630",8866,36447,19425,29913,17650,22082,10612,10053,29963,10237,18249,3860,31501,31574,35587,35582,23849,12551,25515,21428
"Gene631",719,2754,1520,2283,1361,1684,798,761,2314,784,1336,339,2447,2504,2702,2779,1860,941,2002,1622
"Gene632",9719,39712,21104,33041,19068,24000,11715,11014,32794,11231,20038,4167,34819,34758,39304,38980,26528,13740,27664,23503
"Gene633",11006,45500,24257,37298,21894,27528,13281,12414,37372,12926,22925,4838,39757,39465,44679,44421,29850,15778,31825,26747
"Gene634",743,2915,1614,2412,1366,1774,917,874,2506,861,1472,301,2563,2610,2932,2868,1980,994,2032,1798
"Gene635",5800,23436,12665,19807,11467,14387,7028,6517,19504,6541,12144,2500,20829,20529,23549,23517,15590,8019,16642,14011
"Gene636",18328,75298,40429,61844,35928,45001,21775,20694,62094,21058,37913,7888,66290,65598,73988,73782,49295,25618,52116,44305
"Gene637",2057,8512,4616,6796,4046,5239,2518,2329,6888,2375,4205,898,7517,7601,8317,8173,5675,2954,5973,4968
"Gene638",3598,14069,7491,11668,6806,8596,4140,3987,11639,3954,7253,1447,12368,12432,13882,13973,9400,4837,9980,8451
"Gene639",8635,34783,18569,28454,16314,21052,10046,9510,28690,9587,17360,3619,29756,29873,33976,33922,22452,11946,23898,20075
"Gene640",4119,16756,9138,13761,8038,9998,4940,4591,13937,4776,8446,1741,14645,14683,16620,16173,10978,5904,11753,9812
"Gene641",3674,14781,7898,12178,7113,8819,4395,4073,12101,4109,7465,1617,12909,12635,14565,14435,9937,5088,10156,8746
"Gene642",1363,5592,3039,4662,2807,3470,1660,1624,4670,1628,2798,570,4937,4884,5685,5486,3660,1970,3909,3326
"Gene643",1959,7676,4166,6463,3744,4635,2256,2186,6404,2236,3950,780,6805,6803,7798,7813,5159,2719,5495,4592
"Gene644",3090,12555,6641,10534,6044,7548,3770,3459,10343,3496,6362,1347,10823,11107,12331,12387,8335,4248,8850,7527
"Gene645",8112,32520,17555,27012,15526,19532,9613,8970,27056,9128,16542,3355,28595,28413,32283,31919,21782,11208,22816,19502
"Gene646",1320,5037,2824,4166,2439,3056,1501,1415,4180,1514,2632,499,4437,4567,5001,4907,3317,1781,3727,3130
"Gene647",19427,80010,43025,65732,38163,48091,23364,21959,65799,22334,40413,8432,70108,69468,78970,78509,52908,27201,55689,46783
"Gene648",6587,26514,14097,21755,12707,15768,7770,7398,21954,7316,13532,2839,23333,22939,26223,25736,17489,9113,18246,15558
"Gene649",1040,4054,2222,3401,1983,2430,1257,1129,3349,1218,2085,388,3544,3604,3968,4207,2673,1389,2808,2455
"Gene650",3687,14879,8024,12207,7152,8915,4449,4121,12390,4156,7388,1558,13071,12947,14671,14411,9854,5199,10386,8832
"Gene651",1890,7764,4100,6458,3732,4604,2359,2165,6482,2154,3913,823,6715,6750,7857,7506,5118,2641,5328,4700
"Gene652",3023,12740,6760,10217,6012,7552,3737,3535,10443,3613,6431,1305,10979,11057,12436,12333,8262,4482,8750,7695
"Gene653",7058,28885,15325,23617,13986,17072,8424,7879,23706,8065,14457,2938,25151,24886,28351,28205,18841,9789,19970,16819
"Gene654",3596,14465,7802,11792,6976,8715,4283,3976,11955,4129,7361,1491,12809,12556,14398,14367,9598,4985,10169,8631
"Gene655",1024,4398,2329,3602,2156,2683,1348,1228,3633,1231,2269,454,3964,3875,4305,4303,2869,1531,3116,2661
"Gene656",2526,9939,5395,8170,4803,6179,3009,2785,8254,2835,5089,1040,8795,8832,10024,9706,6680,3476,6950,5974
"Gene657",5529,21882,11890,18260,10696,13315,6437,6016,18349,6186,11247,2338,19514,19275,21894,21440,14554,7694,15574,12993
"Gene658",25150,101533,54519,83366,48918,60610,29533,27814,83902,28771,51084,10436,88708,88270,100162,99656,66879,35130,70585,59968
"Gene659",8148,32952,17429,27091,15785,19833,9607,9053,27257,9450,16466,3410,28517,28767,32365,32352,21719,11337,22976,19566
"Gene660",5731,22687,12279,18982,11107,13870,6839,6085,19081,6404,11717,2386,20618,19910,22741,22075,15259,8008,16345,13647
"Gene661",5365,21503,11684,17950,10298,12947,6480,6010,17917,6203,10946,2327,19043,18987,21375,21456,14151,7514,14867,12702
"Gene662",2325,9539,5031,7740,4562,5758,2749,2594,7912,2700,4878,993,8306,8391,9460,9265,6202,3309,6592,5608
"Gene663",5036,20586,10936,17127,9833,12334,6099,5666,17102,5842,10266,2161,18027,18211,20279,20270,13637,6980,14259,12157
"Gene664",8077,32068,17366,26560,15670,19562,9380,9130,26819,9318,16263,3390,28461,27983,31914,32005,21439,11119,22476,19226
"Gene665",955,3867,2136,3206,1875,2303,1163,1048,3316,1068,2007,388,3505,3505,3969,3864,2619,1415,2699,2325
"Gene666",3496,14059,7867,11731,6975,8818,4220,4031,11891,3945,7272,1536,12636,12624,14016,14105,9699,4866,10016,8443
"Gene667",3898,15914,8372,12996,7551,9593,4588,4318,12990,4401,7956,1680,13772,13937,15624,15284,10390,5427,10891,9307
"Gene668",14196,57007,30525,47286,27311,34483,16783,15941,47081,16019,29103,6024,50318,50682,57186,56248,37611,19694,39861,33786
"Gene669",6714,27429,14824,22370,13203,16553,7798,7558,22753,7689,13705,2921,23694,23885,26799,26946,17730,9598,18972,16134
"Gene670",9679,39631,21104,32619,18793,23747,11781,10859,32749,11255,19956,4080,34550,34550,39026,38919,26159,13523,27549,23228
"Gene671",3396,13760,7363,11181,6738,8347,4000,3881,11401,3936,6828,1496,12121,12150,13627,13521,9119,4773,9788,7943
"Gene672",3050,12747,6763,10572,6177,7567,3776,3508,10610,3659,6582,1310,11299,11387,12669,12625,8474,4473,9114,7525
"Gene673",1550,6330,3356,5294,3050,3787,1896,1858,5174,1696,3106,627,5421,5649,6225,6172,4055,2187,4388,3846
"Gene674",13177,53159,28436,43635,25800,31970,15604,15003,44347,15038,26820,5539,46351,46807,52972,52363,34950,18088,37273,31520
"Gene675",8606,34645,18665,28420,16571,20902,10148,9429,28604,9677,17602,3671,30415,29903,34268,34049,22857,11872,23916,20486
"Gene676",11042,45559,24520,37115,21910,27448,13465,12470,37515,12965,22800,4667,39940,39516,44523,44550,29753,15816,31695,27222
"Gene677",9517,38437,20522,31721,18386,23240,11468,10790,31729,10898,19340,4100,33586,33860,37988,38063,25395,13296,26901,22825
"Gene678",5255,21016,11259,17477,10056,12785,6332,5874,17726,5941,10704,2207,18723,18608,21151,21077,13909,7203,14864,12594
"Gene679",5525,22721,12223,18546,10895,13733,6701,6275,18664,6460,11367,2424,19574,19773,22495,22183,15049,7855,15827,13424
"Gene680",4329,17503,9471,14381,8554,10555,5287,5000,14552,5021,9124,1785,15436,15359,17710,17497,11536,6047,12309,10564
"Gene681",4954,20126,10835,16396,9500,12148,5891,5550,16641,5736,10135,2047,17430,17509,19867,19608,13045,6864,14075,11769
"Gene682",10889,44660,23960,36795,21581,27043,13252,12250,36582,12454,22419,4607,39186,38877,44470,43961,29013,15471,31250,26613
"Gene683",4996,20908,11362,17163,10202,12619,6217,5774,17118,5963,10547,2149,18417,18068,20649,20318,13915,7192,14550,12297
"Gene684",5619,22983,12547,18827,11047,13774,6736,6479,19231,6558,11656,2422,20112,20117,22794,22625,15199,7984,15964,13329
