"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"Gene463",13527.4695863083,13796.5141146729,13706.7131314451,13880.9107516494,13797.7802802744,13678.811465316,13594.441029733,13596.8312558335,13614.7976615137,13538.2127482628
"Gene464",4710.66509437548,4662.93334189292,4781.12286225592,4766.28103123775,4719.66820804969,4639.23143723345,4701.22898257386,4555.25732148155,4782.22146860132,4739.04834007755
"Gene465",10717.2942225049,10872.7211658877,10723.8315831089,10936.2821864434,10815.9475457696,10927.7037178824,10952.828871024,10985.7019171863,10909.9473614968,10898.2949562608
"Gene466",5763.2737358001,5597.7094043077,5585.36589565098,5609.09195927785,5847.87574782253,5489.5594500256,5714.87085742731,5699.6730844266,5589.06274146351,5672.36962710314
"Gene467",30490.8855452668,30332.1505507292,30136.5027298761,30204.5839458326,30325.0310822098,30211.5610424032,30039.0425464941,30482.1343124187,30219.9255587603,30007.79560379
"Gene468",3853.12704521488,4017.53805643749,4004.36773849179,4032.29459115887,4099.15406117463,4143.27268000492,3918.76858795015,3969.2612982868,4072.8470828826,3923.65573552813
"Gene469",18792.444185434,18901.6098608343,18943.603269517,18861.9464905128,18797.5210617941,18987.2312735468,19225.2458943495,18796.6842028293,18891.2742915467,19210.5823753659
"Gene470",28420.4333184646,28761.0223521389,28661.0226774292,28562.376114205,28277.4333630958,28620.0634035773,28658.4202799473,28312.2255088829,28556.6444787499,28873.995556555
"Gene471",13363.3012660861,13829.3550252159,13776.7629656659,13821.8676783939,13908.6217227784,13682.7664793289,13799.7560506363,13817.4415233892,13755.5190843717,13699.9435128015
"Gene472",3627.15418090904,3484.94415936919,3409.38750099667,3389.76702926017,3414.31229141779,3481.20333423093,3412.75597737738,3541.82890489769,3417.68504859279,3509.22065139763
"Gene473",13894.4340668049,14039.2512795565,14042.7749943522,14026.2030201508,13863.0975588929,13847.2950622692,13770.6562838941,13777.8006159378,13910.0819586584,13893.6834911552
"Gene474",10049.0325896005,10246.840044668,10250.3301720472,10285.0718196542,10014.3263990889,9894.65405769024,10121.8688651633,10146.3487898456,10177.5038900636,10037.4155741849
"Gene475",5197.37587903421,5185.53217923071,5221.81612311297,5212.57720261063,5150.16845348933,5204.79844109056,5158.74198190963,5341.18139964863,5188.81410431815,5217.50185183796
"Gene476",15263.7909966582,15279.1146413643,15458.8456937258,15536.4322174425,15319.8708032311,15467.2688019886,15330.7271120179,15163.5088590218,15382.4663543819,15216.1694303521
"Gene477",9940.87463745413,9708.05872967131,9766.18827983804,9821.9888921596,9652.11239947759,9527.62875728507,9766.20504942528,9689.61659529674,9715.54544863216,9676.89074490063
"Gene478",21198.958620691,21021.990389377,21000.7629580247,21003.1261765157,21009.4016331908,21106.3277817051,20956.6820155107,20914.8874749068,20853.3000315589,20925.602357662
"Gene479",7758.40167450034,7913.70753043314,7881.04970321414,7863.72696251698,7987.51145044434,7872.85089425142,8005.66916152193,7976.43998630973,7807.7320600488,7845.62677559231
"Gene480",19317.782810145,19157.6737720253,19074.8358703356,19213.8895154086,19108.2729630999,19184.1909713935,19283.4454278339,19053.4883424058,19142.1505986911,19018.5270924762
"Gene481",13177.8876338351,13278.6748295877,13172.0289537856,13212.3347750791,13306.9110348996,13113.2444614589,13214.5274083765,13217.6573584722,13273.3751929401,13132.201141452
"Gene482",20631.1293719225,20516.5259401486,20371.2011568004,20433.5341756974,20351.2805683233,20212.4946147701,20403.7864474088,20346.1266288648,20410.3735858419,20433.6712821901
"Gene483",25639.2288347005,25478.3591635061,25792.5263014281,25729.4663052571,25874.549234527,25690.9800255593,25754.9102205585,25740.7370776871,25878.3236273046,25708.4527798022
"Gene484",6669.09658502605,6456.80858590582,6447.24486859474,6604.72025339115,6661.37276334294,6660.24359786968,6652.53000800944,6509.72641060758,6515.86326004073,6470.91527701311
"Gene485",3043.87379611962,3189.37596448142,3121.20780325312,3189.48366311878,3123.35350484479,3095.19396656343,3264.02383625056,3291.91883618228,3084.33676001928,3071.19983077191
"Gene486",23819.8575682382,23500.7652025421,23502.1627344387,23422.7344726748,23401.3995486565,23693.697949001,23738.9430468069,23374.3472546095,23350.528560146,23363.3566939906
"Gene487",6244.19034445098,6144.10600290861,6167.04553171178,6177.52625277742,6133.88625571231,6321.69439835801,6295.24953856349,6221.89895215604,6222.30914432461,6351.30189907301
"Gene488",6746.35226513061,7068.41105036763,6990.79611387717,6971.13461977122,6959.25914007243,7023.31388426186,6972.62744217368,6973.35267601754,7090.86022147289,6927.46774774223
"Gene489",9334.41754863334,9233.53137008498,9324.60831221871,9279.02415967223,9349.27774406488,9306.93897536041,9190.6763294128,9312.16621565071,9276.65609291513,9611.18762180677
"Gene490",4308.93555783178,4331.66850511049,4314.71510529253,4398.70895753894,4375.26801169798,4308.59226574776,4405.38135402812,4274.32393389113,4414.84627859902,4312.82038769944
"Gene491",7972.78618679049,7856.11694817643,7799.47268108366,7943.60876750979,7840.05274568456,7974.89025578647,8042.85219680363,7854.07022852495,7823.8804200489,7838.88799373653
"Gene492",15783.3354453614,15670.8257917551,15844.563135321,15694.45926645,15677.1365241592,15699.0326231496,15668.607736969,15339.3076659803,16047.4327501003,15713.1545922159
"Gene493",19804.4935948037,20036.2871178591,20038.6861209424,20239.0393461497,19796.0837000667,19895.3024909285,20350.4368750481,19984.1879086563,20090.2900215541,20170.8587898146
"Gene494",3613.63443689075,3548.24620432905,3592.04909402796,3555.31917583948,3601.35722564329,3656.01495360495,3501.67193131189,3526.31724546018,3641.45518002276,3682.74428418398
"Gene495",3885.96070925932,3934.24589201662,3822.59285222279,3862.11161530462,3886.37807779642,3862.46668508286,4073.96734390857,4008.90220573821,3866.37876573845,4004.52111779749
"Gene496",14556.9015237015,14586.1238333827,14626.2280439376,14514.1766549982,14449.9634107221,14489.5893379782,14391.4513077278,14486.1663969173,14573.8949000911,14235.6766703361
"Gene497",3775.87136511032,3749.57526461492,3727.71522865799,3859.79620066715,3804.23665165507,3774.66537399455,3739.32002637323,3681.43383983526,3819.08714002387,3647.36567944113
"Gene498",961.833217301759,968.568883408399,973.604024992026,914.588781801754,944.131572757267,946.03935190643,995.85868406654,985.852133139405,960.250692863145,975.43867362421
"Gene499",1002.39244935665,1009.02507755568,1081.78224999114,989.83975751962,1059.92129394448,1006.94656770643,1010.40856743764,968.616955986618,1024.84413286355,1025.97953754256
"Gene500",25631.5032666901,25829.6141197496,25764.1516850349,25988.792744654,26084.3562506953,26305.5892031774,26086.3242306781,25911.3653314997,26118.8188458775,25981.3734449613
"Gene501",1404.12198590036,1372.17891443067,1356.66134630036,1375.35629465884,1394.42493292976,1345.49576721809,1361.22242205199,1292.63828645901,1366.84332857997,1496.00957198324
"Gene502",4422.887685986,4427.33550538817,4378.55799217725,4458.90973811324,4504.9129131982,4412.21363288801,4476.51411717573,4558.70435691211,4343.33211288429,4316.18977862733
"Gene503",9228.19098848957,9247.33407161758,9298.00710935008,9252.39689134129,9219.63284256467,9306.93897536041,9391.14138919242,9375.93637111602,9213.79283434331,9169.79741025316
"Gene504",33542.4849093969,33751.8888442374,33957.3221685743,33860.0448047428,33769.0330457269,33457.0455414601,33524.547940727,34163.568152254,33378.6601202086,33338.4385360095
"Gene505",12830.2370733646,13033.0819333524,13291.7343666944,13208.8616531229,12939.7487566051,12966.9089429783,12983.3459281467,12836.7599433956,13046.7214257958,12802.0008305188
"Gene506",3553.76128480971,3626.30286127203,3714.41462722368,3671.66876137249,3711.20901241064,3665.50698723612,3609.98772974121,3662.4751449672,3655.29663145142,3564.81560170782
"Gene507",16511.4702303469,16076.8155989036,16221.4135092934,16143.6497061197,16269.9403104082,16234.541520508,16053.3713194493,16145.9139567307,16236.5992529586,16073.6794215002
"Gene508",11603.8031517048,11535.2508394526,11662.8540443717,11669.6897728629,11662.1032005992,11464.0036180434,11525.1242836207,11437.2635585893,11693.1428215017,11755.8049474089
"Gene509",5197.37587903421,5199.81083598858,5193.44150671976,5176.6882757298,5234.28919110397,5230.11053077367,5144.19209853853,5158.48852182909,5206.11591860397,5286.57436585971
"Gene510",22832.9162549024,22918.6719620465,22784.8169637478,22887.2948377592,23000.5889753162,23064.8507209361,23050.2485672415,23093.413867019,23065.0486244299,22888.2725731581
"Gene511",12343.5262887059,12186.8335428364,12279.1152441617,12255.4896761435,12433.045019444,12198.0542188537,12323.7512153234,12616.1496758399,12296.9761400769,12363.9800098931
"Gene512",9112.30746833273,9275.41542990805,9231.50410217849,9354.85398904946,9355.21567848474,9442.20045460456,9389.52473548453,9325.95435737294,9317.02699291538,9498.31302572245
"Gene513",13355.5756980756,13367.6784567117,13461.9820650537,13311.8976044905,13359.3627889417,13250.8789491108,13335.776436469,13374.4974705626,13371.9955343693,13357.9503336207
"Gene514",4492.41779808011,4598.67938648253,4492.05645775009,4605.35971393339,4526.68533940434,4526.90903926463,4681.82913807906,4432.88756369677,4630.54223002894,4784.53511760407
"Gene515",13674.2553785069,14001.1748615356,13981.5922277543,13994.9449225449,14046.1838701718,13972.2735050796,13916.1551176052,14015.6460606462,13996.0143029446,13998.1346099198
"Gene516",22964.2509110802,23109.0540521513,23096.9377440731,23063.2663502072,23231.178761954,23305.3155729257,23166.6476342103,23000.343910394,23392.6296415748,22896.6960504778
"Gene517",10485.5271821913,10355.3578360278,10403.730441923,10239.3423805641,10417.1162839025,10284.6184393707,10390.2333806748,10084.3021520956,10314.1882229216,10177.2452976923
"Gene518",4594.78157421865,4702.91358081493,4635.70295324072,4715.34190921335,4750.34753588562,4725.45074271656,4773.97839942937,4798.27331933585,4684.17785431499,4604.27270296195
"Gene519",19466.4999943463,19471.328265473,19499.5684094714,19348.7624180414,19831.7113065858,19555.9622886143,19514.6269080637,19742.8954285173,19415.5192644071,19646.9185005277
"Gene520",6487.54573678034,6568.18210861715,6564.29016121673,6391.70210674365,6473.3381733808,6473.56693645671,6571.69732261443,6506.27937517702,6560.84797718387,6587.15926402532
"Gene521",4701.00813436241,4649.13064036031,4679.15158459282,4631.40812860496,4553.4060442937,4656.6334988906,4655.96267875266,4546.63973290516,4651.88113431479,4622.80435306534
"Gene522",25917.3492830769,25716.8127313625,25468.878333193,25611.380158746,25628.1249561029,25478.2002716606,25644.9777684213,26226.7690733957,25623.986957303,25534.9291470158
"Gene523",17363.2141034996,17468.9846327953,17508.025021373,17335.5093907588,17662.3859318647,17595.0663409754,17340.2276709378,17778.0852330996,17530.1982343953,17320.3540648195
"Gene524",20586.7073558624,20501.7713281655,20542.3355619219,20432.3764683787,20428.4737157814,20321.6530015285,20752.9836483152,20795.9647525526,20449.0143044135,20600.4561331206
"Gene525",4177.60090165403,4245.04465411278,4187.91603828537,4235.47222559711,4230.77827414813,4234.23800230361,4225.9327924512,4193.31860127303,4189.92269288333,4206.6845734709
"Gene526",11348.8594073597,11379.6134807918,11552.902405848,11383.736065135,11317.7030042475,11524.9108338434,11455.608174181,11659.5973438603,11385.7472543569,11273.9820447206
"Gene527",7827.93178659444,7761.87781357453,7856.22191387008,7880.51371863866,7750.9837293867,7944.04114648518,7753.47118308949,7748.93564789295,7736.79462147693,7747.91443868349
"Gene528",10672.8722064448,10580.0087023515,10699.0037937648,10796.1996008763,10687.292300006,10589.1545183707,10826.7298818078,10813.3501456584,10744.4266714957,10793.8438374962
"Gene529",7092.07143359852,6998.92158747936,7042.22510608986,6991.97335150848,7045.35918916036,6935.51257317356,7168.24254082961,7002.65247717728,6971.47770290072,7080.77503496124
"Gene530",12026.7780002772,11732.7722579363,11748.8646003136,11786.0393583959,11719.5032333245,11815.9998651992,11938.9876328432,11657.873826145,11610.6708400726,11428.9740274035
"Gene531",28868.5162630711,28667.2591727623,28724.8655643139,28670.0428948475,28810.8578051463,28619.2724007747,28913.8515657956,28724.1462428345,28507.0459444639,28580.8585458285
"Gene532",11615.3915037204,11763.2333923531,11567.9764208069,11619.9083581572,11762.0584300001,11765.375685833,11544.5241281155,11623.4034718394,11623.3588372155,11737.2732973055
"Gene533",20777.9151641211,20605.0536120474,20641.6467192982,20336.2867609236,20468.0599452472,20434.7664022999,20534.7353977487,20327.1679339968,20490.5386586995,20327.5354679615
"Gene534",1676.44825826893,1608.25270616068,1664.34859281424,1606.31890474675,1680.43544081954,1650.82284902067,1645.75347464243,1645.95941809114,1643.09563001027,1603.83008167573
"Gene535",12015.1896482615,12014.0617960662,12094.6802376059,11917.4391390725,12053.0172165731,12103.9248853446,11908.2712123931,11983.6186743327,12186.2445286476,12106.2216039095
"Gene536",14668.9222598531,14374.3237581411,14512.7295783647,14287.8448741853,14560.8048532261,14389.1319820484,14456.1174560438,14303.4735190978,14645.4090658058,14365.3982210598
"Gene537",6226.80781642745,6255.00357039468,6282.3174108092,6262.61774070454,6221.96561627352,6271.86122179438,6338.89918867679,6092.63512351013,6256.33604575339,6514.71735907568
"Gene538",4874.83341459767,4803.8160885705,5008.1197934016,4800.43339714047,4873.06484722933,4822.74408743604,4841.87785516118,4624.1980300927,4853.73563431605,4796.32798585169
"Gene539",6228.73920843007,6210.7397344453,6113.84312597452,6104.01183803766,6203.1621572773,6097.04960242037,6408.4152981165,6430.44459570476,6178.47788146719,6159.24661618327
"Gene540",22622.3945266175,22501.7351847169,22697.0329942813,22670.2247154961,22419.6610579068,22690.7063953076,22689.7347903797,22507.4178438243,22708.6312501419,22487.3150527391
"Gene541",6327.24020056338,6316.40179445349,6402.02282371806,6333.23788714746,6311.03463257137,6407.91370384113,6238.66665878698,6399.42127682974,6422.43346289729,6443.96014958999
"Gene542",15078.3773644073,15216.764506855,15173.3261162692,15299.1022171015,15232.7810984066,15061.4843642561,15366.2934935917,15001.4981937856,15245.7820215239,15062.8621431331
"Gene543",12625.5095210876,12701.81709657,12520.299483504,12767.7751646844,12634.9347897191,12760.4572115004,12773.1809461197,12848.8245674026,12782.0036672228,12638.5853705161
"Gene544",19449.1174663227,19802.1171470302,19879.9656104929,19812.4241991953,19565.4939134289,19710.9988379233,19875.1406849254,19937.6529303438,19696.3853829803,19997.3351570283
"Gene545",15086.1029324178,15354.791522181,15249.5828978259,15416.0306562939,15241.6880000363,15334.3803311522,15388.9266455023,15459.9539060498,15440.7157958108,15062.8621431331
"Gene546",25533.0022745567,25885.3008811052,25911.3450075747,25804.7172809749,25911.1664967828,25871.3286645515,25515.6454717893,26212.9809316734,25797.0051001612,25796.0569439273
"Gene547",17509.9998956983,17590.8291704624,17797.9781326411,17624.3573667836,17735.6204563763,17519.1300719261,17791.274055442,17526.4516466689,17690.5283801106,17320.3540648195
"Gene548",8189.10209108325,7947.50035142675,8124.007356081,8061.69491402091,8197.31846661262,7902.90900075012,8033.15227455623,7938.5225965736,7937.49566719247,7934.9156351814
"Gene549",8364.85876332112,8205.46808351882,8054.84422862255,8199.46208495054,8247.79090918141,8340.33355058645,8104.28503770384,8422.83107456691,8259.30941290877,8160.66482735004
"Gene550",8986.76698816282,8971.75599619082,9222.63703455561,9005.80523245044,9100.87415416753,9143.20139522276,8998.29453817267,8834.75180851851,9135.93467005711,9262.45566077013
"Gene551",9751.59822119796,9808.96123742687,9783.9224150838,9940.65389233008,9836.18836649316,9739.61750838116,9900.387307181,9853.35077824822,9702.28072434636,10022.2533150094
"Gene552",4558.08512616898,4506.34407278168,4520.4310741433,4508.11229915953,4603.87848686248,4484.98589072697,4406.99800773602,4748.29130559276,4538.26588717122,4605.95739842589
"Gene553",33316.5120450911,33439.1862612402,33431.5050585377,33850.7831461929,33555.267406612,33499.7596928003,33388.7490292634,33686.1537451218,33618.5786116387,33148.0679485837
"Gene554",7868.49101864933,7776.63242555765,7899.67054522218,7736.95801111535,7801.45617195549,7694.08426086442,7863.40363522671,7929.90500799721,7743.1386200484,7726.01339765221
"Gene555",13324.6734260338,12973.5875301947,13061.1906084996,13081.5138480619,13195.079936659,13102.1704222225,13410.1425070324,13400.3502362917,13111.3148657962,13181.0573099064
"Gene556",10454.6249101494,10556.6868963137,10547.3769374136,10451.2028198928,10566.5543001356,10606.5565800279,10572.9152496675,10484.1582620402,10494.1270914942,10419.8414445004
"Gene557",13577.6857783762,13638.4969798858,13529.3717789875,13691.625605036,13606.7767231024,13590.2191514251,13393.9759699534,13584.7666318266,13464.271877227,13400.0677202193
"Gene558",4809.1660865088,4681.9715509034,4792.65005016566,4707.81681164156,4700.86474905348,4695.39263621787,4678.59583066326,4710.37391585663,4717.62802860092,4830.02189513059
"Gene559",27746.3775095524,27725.3437819686,27684.7585321503,27867.7517229632,27776.6675603545,27638.428925554,27660.9449421729,27833.0875840354,27593.5101501725,27313.9675569418
"Gene560",7150.01319367693,7031.76249802245,6983.70245977887,7008.18125397078,7047.33850063364,7112.69720095536,7101.9597388057,7161.21610698292,7012.42533004383,7099.30668506463
"Gene561",7650.24372235395,7839.93447051752,7906.76419932049,7738.69457209345,7808.38376211199,7819.85370647739,7737.30464601049,7860.96429938606,7818.1131486203,7771.50017517873
"Gene562",948.313473283462,886.704584663315,941.682581549664,929.060123285959,870.897048245697,908.862220184354,952.209033953234,925.529013104651,945.255787148766,940.060068881363
"Gene563",909.685633231182,863.858733850734,862.765679706048,866.543928074194,816.465982730341,873.267094067474,826.110044737017,889.335141083799,832.79399429092,842.347731972548
"Gene564",14346.3797954166,14499.0240271597,14414.3051277508,14397.2482158058,14381.6771648937,14514.1104248588,14291.218777838,14372.4142277089,14311.4840500895,14528.8136810625
"Gene565",3379.93600457446,3434.96886071667,3330.47059915305,3389.1881756008,3391.550209475,3523.91748557119,3407.90601625368,3333.28326134897,3493.23630430755,3291.89493654872
"Gene566",3727.58656504497,3393.56075611886,3592.04909402796,3564.58083438937,3529.11235686836,3550.0205780569,3446.70570524329,3596.98147178661,3533.6072043078,3579.97786088333
"Gene567",8689.33261976027,8816.11863753011,8746.47550320705,8674.70093929183,8801.9981217014,8769.05706959421,8817.22932288784,8738.23481646291,8732.22567005458,8767.15519437028
"Gene568",5060.24704684861,4914.23770083131,4929.20289155799,4853.10908014298,4918.5890111149,5025.24080490096,5010.00984078281,4953.38991371093,4992.72687574549,4917.62605925573
"Gene569",2528.19213142169,2519.70696253762,2506.72001698767,2450.86639376495,2502.83935796974,2539.90999914009,2573.71270297716,2431.88349625822,2496.65180144418,2439.4390317925
"Gene570",5720.78311174259,5580.57501619827,5731.67251142847,5684.34293499571,5709.32394469253,5562.33170786456,5592.00517562689,5797.91359419748,5668.65108717829,5798.72178689902
"Gene571",9463.82081280848,9402.01951982777,9461.16115361103,9556.87391616896,9509.60197340102,9348.86212389807,9391.14138919242,9605.16422724809,9367.20225434427,9403.97007974152
"Gene572",11236.8386712081,11080.7135993272,11083.8345285977,11051.4740646577,11157.3787749113,11200.5996847785,11064.3779768692,10942.6139743043,11052.9756929262,11014.538943273
"Gene573",21197.0272286884,21088.1481656884,21375.8399184725,21322.0745428276,21390.4190917983,21262.9463366193,21380.2452869805,21447.4544489279,21236.2468544185,21594.4264568482
"Gene574",14531.7934276675,14944.9940732303,14756.5739379939,14726.037094327,14981.4085412993,15045.6643082042,14996.0797944825,15029.0744772301,14842.6497486642,14821.950691789
"Gene575",15891.4933975078,15721.2770456328,15695.5963992567,15968.2570473311,15713.753786415,15883.3362761548,15820.5731855116,15973.5621852028,15880.7586058136,15711.469896752
"Gene576",9892.58983738878,10086.4431337547,10175.846804015,9999.69696558564,10173.6609726884,9967.4263155292,10320.7172712351,10018.808478915,10115.7940857775,10012.1451422257
"Gene577",3806.77363715214,3919.4912800335,3893.52939320582,3918.83927392271,3935.86086462856,3760.4273235478,3976.96812143456,3877.91485937703,3825.43113859534,3962.40373119886
"Gene578",4469.24109404874,4603.43893873515,4489.39633746323,4540.52810408415,4569.24053607998,4503.96995798931,4591.29653043665,4553.53380376627,4603.43605431449,4732.30955822177
"Gene579",7760.33306650295,7715.23420149884,7549.42137411849,7591.66574261393,7740.09751628363,7753.40947105922,7704.97157185249,7569.68980550396,7612.79828576187,7651.88679723862
"Gene580",3416.63245262412,3297.89375584118,3341.1110803005,3295.99273644252,3248.05012766179,3312.7197372777,3396.58944029838,3367.75361565454,3327.13888716365,3323.90415036367
"Gene581",2562.95718746874,2581.10518659644,2570.56290387239,2631.46873548783,2604.77389884395,2596.0711981245,2691.72842365388,2623.19396265415,2584.89105430187,2567.47588705233
"Gene582",6371.6622166235,6313.54606310192,6324.87933539902,6246.9886919016,6231.86217363995,6207.789994784,6337.28253496889,6180.53452698935,6392.44365146853,6341.19372628934
"Gene583",5950.61876005366,5948.01245010062,6027.8325700326,5944.24822805204,5882.51369860503,6062.24547910608,5999.40191001775,5868.57782052391,5948.94047860861,5874.53308277655
"Gene584",9647.3030530568,9721.86143120391,9598.60070176565,9643.70196507419,9746.12969445866,9643.11516646429,9751.65516605418,9855.07429596349,9662.48655148897,9766.17960448972
"Gene585",6435.39815270976,6289.27234661355,6201.62709544101,6354.07661888472,6344.68292761723,6312.20236472685,6516.73109654582,6273.6044836144,6348.03566146825,6558.51944113826
"Gene586",3464.91725268947,3617.25971199205,3628.40407128176,3683.82468821922,3652.81932394871,3648.10492557897,3553.4048499647,3674.53976897415,3609.73518716542,3770.34844830912
"Gene587",2806.31257979811,2968.05678473453,2957.16705222988,2912.21276028141,2871.98094773751,2842.86407253487,2966.55955399692,3031.6676611752,3028.39422716179,2966.74871200731
"Gene588",4110.00218156254,4211.25183311917,4197.66981267054,4169.48290842914,4269.3748478772,4249.26705555296,4221.0828313275,4181.25397726608,4257.39976859804,4103.91815017025
"Gene589",10630.3815823873,10722.3193147049,10657.3285759373,10867.3986009786,10744.6923327313,10619.2126248694,10715.1807759627,10811.6266279432,10672.912505781,10586.626295431
"Gene590",4239.40544573768,4452.0851771018,4549.6923972988,4480.90617716923,4471.26461815234,4544.31110092177,4305.14882413831,4415.65238654398,4498.47171431383,4456.01950213478
"Gene591",23721.3565761048,23870.1064573455,23777.0418307479,23998.1150100868,23947.6895152834,23815.512380601,24059.0404809712,23974.1314195264,23841.9000858633,23700.2957867796
"Gene592",12393.7424807739,12393.3981106001,12347.3916648579,12382.2586275451,12427.1070850241,12296.9295691784,12651.9319180272,12254.2109556314,12329.8495872199,12175.2941179312
"Gene593",1241.88505768079,1302.21349631714,1197.05412908856,1273.47805061004,1302.38694942197,1256.90345332719,1315.95611823079,1234.03868413954,1227.85208715053,1315.74715734112
"Gene594",5272.70016713615,5343.54931401774,5421.32514462773,5517.63308109767,5441.12724006232,5312.3748222438,5207.24159314663,5430.80432084312,5357.79515717635,5377.54792091275
"Gene595",14622.5688517904,14885.0237148473,14765.4410056168,14741.6661431299,15144.7017378453,14704.7421002847,14918.4804165033,14720.5648061952,14910.1268243789,14774.7792187985
"Gene596",28891.6929671024,29314.5582791188,28830.3836690262,29254.6850908094,29372.9822635594,29188.7944186448,29314.7816853548,29208.4547208278,29424.6188287554,29323.8092454283
"Gene597",22730.5524787639,22772.0777526658,22540.0858973564,22729.2677887517,22688.8474182737,22780.0897120011,22914.4496557778,22846.9508337342,22721.8959744277,22352.5394156235
"Gene598",16173.4766298894,16247.6835247727,16424.4693578573,16376.9277308451,16330.3093103435,16221.0944728638,16324.9691423765,16094.2084252723,16421.7286658169,16070.3100305723
"Gene599",14875.5812041328,14818.3899833106,14805.3428099197,14636.3147771249,14744.8808202416,14749.8292600328,14772.9815827923,14696.4355581813,14740.5690443779,14351.9206573483
"Gene600",3318.13146049081,3313.12432304956,3321.60353153017,3234.6342485495,3359.88122590243,3380.74597830107,3307.67348636387,3119.56706465441,3303.49307430636,3354.22866871469
"Gene601",23960.849184429,23774.915412293,24121.0840545156,23736.4731560524,24128.796515089,23993.4880111854,23745.4096616386,24349.8582814572,23926.6789758638,23885.6122878136
"Gene602",8048.11047489243,8283.5247404618,8264.99373128477,8233.61445085326,8293.31507306698,8390.16672715008,8172.18449343565,8257.37337390016,8231.04978290859,8135.39439539087
"Gene603",5259.18042311785,5248.83422419058,5154.42640917909,5262.3586173163,5326.32717461175,5174.74033459186,5265.44112663104,5377.37527166948,5230.33845860412,5200.65489719851
"Gene604",18722.9140733399,18868.2929950659,18961.3374047627,18884.5217832281,19001.3901435425,18797.3906009234,19000.5310289514,18781.1725433918,18861.2844801179,18947.7698829905
"Gene605",20868.690588244,20961.5440757687,21031.7976947048,21014.7032497031,20952.0016004655,20709.2443748012,21163.6136901219,20473.6669397954,20822.7334929873,20683.0062108539
"Gene606",3640.67392492734,3449.72347269979,3583.18202640508,3487.01444403403,3518.22614376529,3439.28018569327,3417.60593850108,3462.54708999487,3458.6326757359,3618.72585655407
"Gene607",2111.01145885707,2013.766558084,2044.74579383571,2035.24946633859,2010.98045685825,2058.9802951609,1998.18398296468,2104.41513035527,2041.61408572705,2041.85090230146
"Gene608",9172.18062041377,9173.56101170196,9075.44371201583,9087.42359842136,9249.32251466396,9234.95772032405,9324.85858716852,9286.31344992153,9282.42336434374,9080.50855066406
"Gene609",7652.17511435657,7507.2417680593,7515.72651715156,7536.67464497395,7621.33882788649,7638.7140646826,7486.72332128596,7481.79040202475,7579.92483861881,7587.86836960871
"Gene610",13216.5154738874,13073.5381274997,13187.1029687445,13276.0086776096,13131.7419695138,13102.1704222225,13174.111065679,13083.2229766805,13099.2035957962,12972.1550723772
"Gene611",1491.03462601799,1477.3650192136,1463.0661577749,1470.86714845459,1447.86634270847,1527.42641181548,1451.7550296944,1415.0080442438,1462.003307152,1566.76678146894
"Gene612",6416.08423268362,6569.13401906768,6394.04246285747,6485.4763995613,6442.65884554487,6538.42916626969,6418.1152203639,6426.9975602742,6373.98838289699,6504.60918629201
"Gene613",9693.65646111954,9599.54093831155,9865.49943721428,9569.0298430157,9626.38135032488,9646.27917767467,9619.08956200636,9417.30079628271,9634.80364863165,9616.24170819861
"Gene614",11308.3001753048,11110.2228232935,11387.0882413002,11225.7090161275,11178.1615453808,11349.3082116668,11358.608951707,11226.9943973253,11330.3814486423,11149.3145803886
"Gene615",7737.15636247158,8054.11432188547,7965.28684563148,7981.23425536873,7975.63558160463,7985.96429502284,7999.20254669033,8226.35005502514,8053.99455005034,7891.11355311883
"Gene616",1450.4753939631,1493.07154164725,1473.70663892236,1409.50866056156,1434.01116239547,1480.75724646224,1408.1053795811,1544.2718728897,1509.87166000944,1524.64939487031
"Gene617",11607.66593571,11730.8684370353,11638.0262550276,11753.0446998119,11750.1825611604,11602.4291084979,11572.0072411498,11654.4267907144,11731.2068129305,11712.0028653463
"Gene618",5546.95783150734,5306.90076167255,5373.44297946419,5249.6238368102,5325.33751887511,5412.04117537106,5334.95723607075,5194.68239384994,5238.41263860417,5342.1693161699
"Gene619",8892.12878003474,8964.14071258662,8956.62500586926,8965.86432995403,9053.37067880868,9016.64094680718,8928.77842873296,9172.56128071314,9033.27723862789,8795.79501725734
"Gene620",11652.0879517701,11395.7959584508,11482.8525716273,11695.1593338751,11707.6273644848,11710.0054896512,11431.3583685625,11289.0410350754,11591.6388443582,11499.7312368892
"Gene621",31267.3051303176,31298.8156132365,31173.0629349906,31171.2695569775,31335.4695893222,31343.48605292,31212.7331384297,31318.0404043289,31348.5805773388,30914.1617633925
"Gene622",27051.0763886113,27046.1556755195,27311.4549852271,27199.1757463929,26999.7878070899,27023.0287451332,27082.1829147446,27195.3860293823,27068.1117230263,27170.7684425065
"Gene623",17519.6568557114,17535.618364332,17545.2667053891,17358.6635371336,17221.9891290587,17265.2181722923,17425.9103174566,17467.8520443494,17406.2018986802,17348.9938877066
"Gene624",18381.0576888772,18638.4066212643,18674.0444137815,18542.9981242009,18525.3657342173,18492.0635191208,18316.6865105096,18420.9573408985,18521.5921929729,18292.4233475158
"Gene625",11572.9008796629,11627.5861531534,11410.1426171197,11431.2020652032,11595.7962662441,11617.4581617473,11657.6898876685,11680.2795564436,11645.8511957871,11738.9579927694
